time,step,username,run,ic_right,to_right,axtibacc_right,tibimpact_right,axsacacc_right,sacimpact_right,brakingforce_right,pushoffpower_right,tibintrot_right,vll_right,ic_left,to_left,axtibacc_left,tibimpact_left,axsacacc_left,sacimpact_left,brakingforce_left,pushoffpower_left,tibintrot_left,vll_left
03/12/2018 21:00,1,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,49.6721,49.71765546,27.6473,31.63050362,-55.6549,-1.25344,-0.296442,37.99863984,03/12/2018 21:00,03/12/2018 21:00,53.0553,86.68187186,27.0706,29.4884049,-43.6481,-1.18747,-1.20405,34.67961953
03/12/2018 21:00,2,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,49.1919,59.44514249,34.3627,37.23017421,-74.078,-1.19509,-0.939439,37.71313503,03/12/2018 21:00,03/12/2018 21:00,38.3425,50.49654414,22.9999,28.60834888,-39.4077,-1.14572,-2.50845,32.80104493
03/12/2018 21:00,3,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,44.6876,53.42523521,36.0207,40.12906104,-45.5462,-1.25205,-0.356758,40.84190268,03/12/2018 21:00,03/12/2018 21:00,84.3872,98.79451833,35.3635,48.37606141,-71.6721,-1.07334,-2.14266,36.07738356
03/12/2018 21:00,4,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,71.0764,94.92114795,25.5875,34.96906837,-86.7025,-1.27671,-0.05926,41.78449288,03/12/2018 21:00,03/12/2018 21:00,61.7387,73.73603797,30.3176,32.61874204,-61.3351,-1.13035,-2.65393,36.25635114
03/12/2018 21:00,5,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,41.201,66.44860245,38.5032,46.08484181,-53.5972,-1.39612,-0.923528,40.362885,03/12/2018 21:00,03/12/2018 21:00,64.5449,76.27343434,25.0868,32.87795204,-40.9638,-1.25778,-2.03723,36.27746634
03/12/2018 21:00,6,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,68.787,129.9628888,36.4241,42.83887133,-69.4991,-1.34383,-1.34885,37.59961646,03/12/2018 21:00,03/12/2018 21:00,100.727,114.4797492,37.0986,75.30009932,-74.9276,-1.40539,-1.56973,35.07317317
03/12/2018 21:00,7,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,107.621,169.6271231,44.5085,54.00445223,-122.35,-1.45435,-2.02695,37.97113045,03/12/2018 21:00,03/12/2018 21:00,89.9721,93.94267551,28.2688,35.2095825,-57.7733,-1.4838,-2.72999,37.38794294
03/12/2018 21:00,8,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,76.4548,114.6818186,40.9659,44.47105697,-86.4578,-1.37534,-1.38858,39.91764386,03/12/2018 21:00,03/12/2018 21:00,81.0902,91.65788201,27.7763,35.44931269,-116.201,-1.37433,-1.92124,35.90546235
03/12/2018 21:00,9,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,70.2362,102.3282284,51.8721,58.2266196,-70.9274,-1.35975,-1.89463,38.95535072,03/12/2018 21:00,03/12/2018 21:00,71.3621,77.72958133,30.5215,33.04451601,-99.6669,-1.2315,-2.22065,35.84743876
03/12/2018 21:00,10,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,66.9459,121.1950021,41.0102,49.02080504,-87.174,-1.30947,-1.07925,38.28118447,03/12/2018 21:00,03/12/2018 21:00,84.3429,99.19991073,31.7162,36.89142926,-88.6352,-1.28996,-2.70024,34.59524157
03/12/2018 21:00,11,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,69.6921,117.6022452,47.8353,55.5393181,-78.3682,-1.31339,-1.15038,37.85064014,03/12/2018 21:00,03/12/2018 21:00,96.8028,110.5313422,28.7963,32.30920399,-87.3335,-1.41659,-2.4379,35.6905752
03/12/2018 21:00,12,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,75.73,115.0032881,40.5598,48.15936296,-73.0751,-1.31472,-0.748366,38.43478326,03/12/2018 21:00,03/12/2018 21:00,92.542,102.1195743,37.1169,40.89979042,-79.1514,-1.25738,-2.28057,37.08173145
03/12/2018 21:00,13,CvdB,7,03/12/2018 21:00,03/12/2018 21:00,71.3933,105.5301688,44.6418,48.01041659,-79.259,-1.28058,-1.95851,39.8793703,03/12/2018 21:00,03/12/2018 21:00,89.6546,95.55833414,32.2629,35.85802049,-66.1637,-1.35925,-2.25492,37.23938292
